6	4	1	3	0
13	7	3	2	1.33882
10	6	2	4	1.34093
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
4	3	1	1	1.46943
3	3	1	1	1.40073
6	4	1	3	0
15	8	3	5	0
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
15	8	3	5	0
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
15	8	3	5	0
20	11	5	0	1.51
1	1	0	1	1.5861
4	3	1	1	1.46943
6	4	1	3	0
15	8	3	5	0
20	11	5	0	1.51
2	2	0	2	1.58748
12	6	2	4	1.37962
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
2	2	0	2	1.58748
8	5	2	2	1.0442
11	6	2	4	1.54788
17	9	4	3	1.51482
14	7	3	2	1.25844
10	6	2	4	1.34093
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
12	6	2	4	1.37962
17	9	4	3	1.51482
14	7	3	2	1.25844
10	6	2	4	1.34093
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
2	2	0	2	1.58748
8	5	2	2	1.0442
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
12	6	2	4	1.37962
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
2	2	0	2	1.58748
8	5	2	2	1.0442
7	5	2	2	1.54788
11	6	2	4	1.54788
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
2	2	0	2	1.58748
8	5	2	2	1.0442
7	5	2	2	1.54788
11	6	2	4	1.54788
17	9	4	3	1.51482
14	7	3	2	1.25844
10	6	2	4	1.34093
17	9	4	3	1.51482
14	7	3	2	1.25844
10	6	2	4	1.34093
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
4	3	1	1	1.46943
6	4	1	3	0
15	8	3	5	0
20	11	5	0	1.51
1	1	0	1	1.5861
4	3	1	1	1.46943
3	3	1	1	1.40073
3	3	1	1	1.40073
6	4	1	3	0
15	8	3	5	0
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
15	8	3	5	0
20	11	5	0	1.51
1	1	0	1	1.5861
4	3	1	1	1.46943
6	4	1	3	0
15	8	3	5	0
20	11	5	0	1.51
1	1	0	1	1.5861
4	3	1	1	1.46943
3	3	1	1	1.40073
6	4	1	3	0
13	7	3	2	1.33882
9	5	2	2	1.16441
7	5	2	2	1.54788
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
8	5	2	2	1.0442
11	6	2	4	1.54788
17	9	4	3	1.51482
14	7	3	2	1.25844
9	5	2	2	1.16441
7	5	2	2	1.54788
7	5	2	2	1.54788
7	5	2	2	1.54788
11	6	2	4	1.54788
17	9	4	3	1.51482
14	7	3	2	1.25844
9	5	2	2	1.16441
7	5	2	2	1.54788
11	6	2	4	1.54788
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
2	2	0	2	1.58748
8	5	2	2	1.0442
7	5	2	2	1.54788
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
8	5	2	2	1.0442
7	5	2	2	1.54788
7	5	2	2	1.54788
11	6	2	4	1.54788
17	9	4	3	1.51482
16	8	3	5	1.3365
20	11	5	0	1.51
2	2	0	2	1.58748
12	6	2	4	1.37962
17	9	4	3	1.51482
14	7	3	2	1.25844
9	5	2	2	1.16441
7	5	2	2	1.54788
7	5	2	2	1.54788
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
12	6	2	4	1.37962
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
5	4	1	3	1.54788
15	8	3	5	0
20	11	5	0	1.51
2	2	0	2	1.58748
8	5	2	2	1.0442
11	6	2	4	1.54788
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
2	2	0	2	1.58748
8	5	2	2	1.0442
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
4	3	1	1	1.46943
6	4	1	3	0
13	7	3	2	1.33882
10	6	2	4	1.34093
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
5	4	1	3	1.54788
15	8	3	5	0
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
13	7	3	2	1.33882
10	6	2	4	1.34093
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
2	2	0	2	1.58748
8	5	2	2	1.0442
7	5	2	2	1.54788
7	5	2	2	1.54788
11	6	2	4	1.54788
17	9	4	3	1.51482
14	7	3	2	1.25844
9	5	2	2	1.16441
7	5	2	2	1.54788
11	6	2	4	1.54788
17	9	4	3	1.51482
14	7	3	2	1.25844
9	5	2	2	1.16441
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
4	3	1	1	1.46943
3	3	1	1	1.40073
3	3	1	1	1.40073
3	3	1	1	1.40073
3	3	1	1	1.40073
6	4	1	3	0
15	8	3	5	0
20	11	5	0	1.51
2	2	0	2	1.58748
12	6	2	4	1.37962
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
12	6	2	4	1.37962
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
13	7	3	2	1.33882
9	5	2	2	1.16441
11	6	2	4	1.54788
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
2	2	0	2	1.58748
12	6	2	4	1.37962
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
12	6	2	4	1.37962
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
15	8	3	5	0
20	11	5	0	1.51
2	2	0	2	1.58748
12	6	2	4	1.37962
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
15	8	3	5	0
20	11	5	0	1.51
2	2	0	2	1.58748
8	5	2	2	1.0442
7	5	2	2	1.54788
7	5	2	2	1.54788
7	5	2	2	1.54788
7	5	2	2	1.54788
7	5	2	2	1.54788
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
4	3	1	1	1.46943
3	3	1	1	1.40073
6	4	1	3	0
15	8	3	5	0
20	11	5	0	1.51
1	1	0	1	1.5861
4	3	1	1	1.46943
3	3	1	1	1.40073
6	4	1	3	0
15	8	3	5	0
20	11	5	0	1.51
2	2	0	2	1.58748
12	6	2	4	1.37962
17	9	4	3	1.51482
14	7	3	2	1.25844
10	6	2	4	1.34093
17	9	4	3	1.51482
14	7	3	2	1.25844
9	5	2	2	1.16441
11	6	2	4	1.54788
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
15	8	3	5	0
20	11	5	0	1.51
2	2	0	2	1.58748
8	5	2	2	1.0442
11	6	2	4	1.54788
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
2	2	0	2	1.58748
12	6	2	4	1.37962
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
1	1	0	1	1.5861
4	3	1	1	1.46943
6	4	1	3	0
15	8	3	5	0
20	11	5	0	1.51
1	1	0	1	1.5861
4	3	1	1	1.46943
3	3	1	1	1.40073
6	4	1	3	0
15	8	3	5	0
20	11	5	0	1.51
2	2	0	2	1.58748
12	6	2	4	1.37962
17	9	4	3	1.51482
14	7	3	2	1.25844
9	5	2	2	1.16441
7	5	2	2	1.54788
11	6	2	4	1.54788
17	9	4	3	1.51482
14	7	3	2	1.25844
9	5	2	2	1.16441
11	6	2	4	1.54788
17	9	4	3	1.51482
14	7	3	2	1.25844
9	5	2	2	1.16441
11	6	2	4	1.54788
17	9	4	3	1.51482
14	7	3	2	1.25844
9	5	2	2	1.16441
11	6	2	4	1.54788
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
15	8	3	5	0
20	11	5	0	1.51
2	2	0	2	1.58748
12	6	2	4	1.37962
17	9	4	3	1.51482
14	7	3	2	1.25844
9	5	2	2	1.16441
7	5	2	2	1.54788
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
5	4	1	3	1.54788
15	8	3	5	0
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
15	8	3	5	0
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
15	8	3	5	0
20	11	5	0	1.51
2	2	0	2	1.58748
8	5	2	2	1.0442
7	5	2	2	1.54788
11	6	2	4	1.54788
17	9	4	3	1.51482
14	7	3	2	1.25844
9	5	2	2	1.16441
7	5	2	2	1.54788
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
12	6	2	4	1.37962
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
12	6	2	4	1.37962
17	9	4	3	1.51482
16	8	3	5	1.3365
20	11	5	0	1.51
2	2	0	2	1.58748
12	6	2	4	1.37962
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
12	6	2	4	1.37962
17	9	4	3	1.51482
14	7	3	2	1.25844
10	6	2	4	1.34093
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
8	5	2	2	1.0442
7	5	2	2	1.54788
7	5	2	2	1.54788
7	5	2	2	1.54788
11	6	2	4	1.54788
17	9	4	3	1.51482
16	8	3	5	1.3365
20	11	5	0	1.51
2	2	0	2	1.58748
8	5	2	2	1.0442
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
5	4	1	3	1.54788
13	7	3	2	1.33882
10	6	2	4	1.34093
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
4	3	1	1	1.46943
3	3	1	1	1.40073
3	3	1	1	1.40073
6	4	1	3	0
13	7	3	2	1.33882
10	6	2	4	1.34093
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
4	3	1	1	1.46943
3	3	1	1	1.40073
3	3	1	1	1.40073
3	3	1	1	1.40073
6	4	1	3	0
13	7	3	2	1.33882
9	5	2	2	1.16441
7	5	2	2	1.54788
7	5	2	2	1.54788
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
8	5	2	2	1.0442
7	5	2	2	1.54788
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
5	4	1	3	1.54788
13	7	3	2	1.33882
10	6	2	4	1.34093
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
4	3	1	1	1.46943
6	4	1	3	0
13	7	3	2	1.33882
10	6	2	4	1.34093
17	9	4	3	1.51482
16	8	3	5	1.3365
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
13	7	3	2	1.33882
10	6	2	4	1.34093
17	9	4	3	1.51482
16	8	3	5	1.3365
20	11	5	0	1.51
2	2	0	2	1.58748
12	6	2	4	1.37962
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
12	6	2	4	1.37962
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
12	6	2	4	1.37962
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
5	4	1	3	1.54788
13	7	3	2	1.33882
10	6	2	4	1.34093
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
5	4	1	3	1.54788
13	7	3	2	1.33882
10	6	2	4	1.34093
17	9	4	3	1.51482
14	7	3	2	1.25844
10	6	2	4	1.34093
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
2	2	0	2	1.58748
12	6	2	4	1.37962
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
5	4	1	3	1.54788
15	8	3	5	0
20	11	5	0	1.51
1	1	0	1	1.5861
4	3	1	1	1.46943
6	4	1	3	0
13	7	3	2	1.33882
9	5	2	2	1.16441
7	5	2	2	1.54788
11	6	2	4	1.54788
17	9	4	3	1.51482
16	8	3	5	1.3365
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
15	8	3	5	0
20	11	5	0	1.51
2	2	0	2	1.58748
12	6	2	4	1.37962
17	9	4	3	1.51482
14	7	3	2	1.25844
10	6	2	4	1.34093
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
1	1	0	1	1.5861
4	3	1	1	1.46943
3	3	1	1	1.40073
3	3	1	1	1.40073
3	3	1	1	1.40073
6	4	1	3	0
15	8	3	5	0
20	11	5	0	1.51
2	2	0	2	1.58748
12	6	2	4	1.37962
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
2	2	0	2	1.58748
12	6	2	4	1.37962
17	9	4	3	1.51482
14	7	3	2	1.25844
10	6	2	4	1.34093
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
2	2	0	2	1.58748
8	5	2	2	1.0442
7	5	2	2	1.54788
7	5	2	2	1.54788
11	6	2	4	1.54788
17	9	4	3	1.51482
14	7	3	2	1.25844
9	5	2	2	1.16441
7	5	2	2	1.54788
11	6	2	4	1.54788
17	9	4	3	1.51482
14	7	3	2	1.25844
9	5	2	2	1.16441
7	5	2	2	1.54788
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
12	6	2	4	1.37962
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
4	3	1	1	1.46943
3	3	1	1	1.40073
6	4	1	3	0
15	8	3	5	0
20	11	5	0	1.51
2	2	0	2	1.58748
12	6	2	4	1.37962
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
2	2	0	2	1.58748
8	5	2	2	1.0442
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
8	5	2	2	1.0442
11	6	2	4	1.54788
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
13	7	3	2	1.33882
10	6	2	4	1.34093
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
2	2	0	2	1.58748
8	5	2	2	1.0442
7	5	2	2	1.54788
7	5	2	2	1.54788
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
8	5	2	2	1.0442
7	5	2	2	1.54788
7	5	2	2	1.54788
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
8	5	2	2	1.0442
11	6	2	4	1.54788
17	9	4	3	1.51482
14	7	3	2	1.25844
10	6	2	4	1.34093
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
1	1	0	1	1.5861
4	3	1	1	1.46943
3	3	1	1	1.40073
3	3	1	1	1.40073
6	4	1	3	0
15	8	3	5	0
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
13	7	3	2	1.33882
10	6	2	4	1.34093
17	9	4	3	1.51482
14	7	3	2	1.25844
9	5	2	2	1.16441
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
12	6	2	4	1.37962
17	9	4	3	1.51482
14	7	3	2	1.25844
9	5	2	2	1.16441
7	5	2	2	1.54788
11	6	2	4	1.54788
17	9	4	3	1.51482
14	7	3	2	1.25844
9	5	2	2	1.16441
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
5	4	1	3	1.54788
15	8	3	5	0
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
13	7	3	2	1.33882
9	5	2	2	1.16441
7	5	2	2	1.54788
11	6	2	4	1.54788
17	9	4	3	1.51482
14	7	3	2	1.25844
10	6	2	4	1.34093
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
1	1	0	1	1.5861
4	3	1	1	1.46943
3	3	1	1	1.40073
3	3	1	1	1.40073
6	4	1	3	0
13	7	3	2	1.33882
9	5	2	2	1.16441
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
8	5	2	2	1.0442
7	5	2	2	1.54788
11	6	2	4	1.54788
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
1	1	0	1	1.5861
4	3	1	1	1.46943
6	4	1	3	0
13	7	3	2	1.33882
10	6	2	4	1.34093
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
2	2	0	2	1.58748
12	6	2	4	1.37962
17	9	4	3	1.51482
14	7	3	2	1.25844
9	5	2	2	1.16441
7	5	2	2	1.54788
11	6	2	4	1.54788
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
1	1	0	1	1.5861
4	3	1	1	1.46943
3	3	1	1	1.40073
3	3	1	1	1.40073
3	3	1	1	1.40073
3	3	1	1	1.40073
6	4	1	3	0
13	7	3	2	1.33882
9	5	2	2	1.16441
7	5	2	2	1.54788
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
8	5	2	2	1.0442
7	5	2	2	1.54788
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
12	6	2	4	1.37962
17	9	4	3	1.51482
14	7	3	2	1.25844
10	6	2	4	1.34093
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
8	5	2	2	1.0442
7	5	2	2	1.54788
11	6	2	4	1.54788
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
2	2	0	2	1.58748
12	6	2	4	1.37962
17	9	4	3	1.51482
14	7	3	2	1.25844
9	5	2	2	1.16441
11	6	2	4	1.54788
17	9	4	3	1.51482
16	8	3	5	1.3365
20	11	5	0	1.51
1	1	0	1	1.5861
4	3	1	1	1.46943
6	4	1	3	0
13	7	3	2	1.33882
9	5	2	2	1.16441
7	5	2	2	1.54788
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
12	6	2	4	1.37962
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
4	3	1	1	1.46943
3	3	1	1	1.40073
3	3	1	1	1.40073
3	3	1	1	1.40073
6	4	1	3	0
13	7	3	2	1.33882
10	6	2	4	1.34093
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
8	5	2	2	1.04419
7	5	2	2	1.54788
7	5	2	2	1.54788
7	5	2	2	1.54788
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
12	6	2	4	1.37962
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
12	6	2	4	1.37962
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
4	3	1	1	1.46943
6	4	1	3	0
15	8	3	5	0
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
15	8	3	5	0
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
13	7	3	2	1.33882
9	5	2	2	1.16441
7	5	2	2	1.54788
11	6	2	4	1.54788
17	9	4	3	1.51482
16	8	3	5	1.3365
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
13	7	3	2	1.33882
9	5	2	2	1.16441
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
5	4	1	3	1.54788
15	8	3	5	0
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
15	8	3	5	0
20	11	5	0	1.51
2	2	0	2	1.58748
12	6	2	4	1.37962
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
2	2	0	2	1.58748
8	5	2	2	1.0442
11	6	2	4	1.54788
17	9	4	3	1.51482
14	7	3	2	1.25844
9	5	2	2	1.16441
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
5	4	1	3	1.54788
15	8	3	5	0
20	11	5	0	1.51
2	2	0	2	1.58748
8	5	2	2	1.0442
11	6	2	4	1.54788
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
2	2	0	2	1.58748
8	5	2	2	1.0442
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
5	4	1	3	1.54788
15	8	3	5	0
20	11	5	0	1.51
2	2	0	2	1.58748
8	5	2	2	1.0442
11	6	2	4	1.54788
17	9	4	3	1.51482
14	7	3	2	1.25844
10	6	2	4	1.34093
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
5	4	1	3	1.54788
13	7	3	2	1.33882
10	6	2	4	1.34093
17	9	4	3	1.51482
14	7	3	2	1.25844
10	6	2	4	1.34093
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
4	3	1	1	1.46943
3	3	1	1	1.40073
3	3	1	1	1.40073
6	4	1	3	0
15	8	3	5	0
20	11	5	0	1.51
2	2	0	2	1.58748
8	5	2	2	1.0442
11	6	2	4	1.54788
17	9	4	3	1.51482
16	8	3	5	1.3365
20	11	5	0	1.51
1	1	0	1	1.5861
4	3	1	1	1.46943
6	4	1	3	0
15	8	3	5	0
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
13	7	3	2	1.33882
9	5	2	2	1.16441
7	5	2	2	1.54788
11	6	2	4	1.54788
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
2	2	0	2	1.58748
8	5	2	2	1.0442
11	6	2	4	1.54788
17	9	4	3	1.51482
14	7	3	2	1.25844
10	6	2	4	1.34093
17	9	4	3	1.51482
14	7	3	2	1.25844
10	6	2	4	1.34093
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
4	3	1	1	1.46943
3	3	1	1	1.40073
3	3	1	1	1.40073
6	4	1	3	0
13	7	3	2	1.33882
10	6	2	4	1.34093
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
5	4	1	3	1.54788
15	8	3	5	0
20	11	5	0	1.51
1	1	0	1	1.5861
4	3	1	1	1.46943
3	3	1	1	1.40073
6	4	1	3	0
13	7	3	2	1.33882
9	5	2	2	1.16441
11	6	2	4	1.54788
17	9	4	3	1.51482
16	8	3	5	1.3365
20	11	5	0	1.51
2	2	0	2	1.58748
8	5	2	2	1.0442
11	6	2	4	1.54788
17	9	4	3	1.51482
14	7	3	2	1.25844
10	6	2	4	1.34093
17	9	4	3	1.51482
14	7	3	2	1.25844
9	5	2	2	1.16441
11	6	2	4	1.54788
17	9	4	3	1.51482
14	7	3	2	1.25844
9	5	2	2	1.16441
7	5	2	2	1.54788
7	5	2	2	1.54788
11	6	2	4	1.54788
17	9	4	3	1.51482
16	8	3	5	1.3365
20	11	5	0	1.51
2	2	0	2	1.58748
12	6	2	4	1.37962
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
5	4	1	3	1.54788
13	7	3	2	1.33882
9	5	2	2	1.16441
7	5	2	2	1.54788
7	5	2	2	1.54788
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
4	3	1	1	1.46943
3	3	1	1	1.40073
3	3	1	1	1.40073
3	3	1	1	1.40073
3	3	1	1	1.40073
6	4	1	3	0
15	8	3	5	0
20	11	5	0	1.51
2	2	0	2	1.58748
12	6	2	4	1.37962
17	9	4	3	1.51482
14	7	3	2	1.25844
9	5	2	2	1.16441
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
4	3	1	1	1.46943
6	4	1	3	0
15	8	3	5	0
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
15	8	3	5	0
20	11	5	0	1.51
1	1	0	1	1.5861
4	3	1	1	1.46943
3	3	1	1	1.40073
3	3	1	1	1.40073
6	4	1	3	0
13	7	3	2	1.33882
9	5	2	2	1.16441
11	6	2	4	1.54788
17	9	4	3	1.51482
16	8	3	5	1.3365
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
13	7	3	2	1.33882
9	5	2	2	1.16441
11	6	2	4	1.54788
17	9	4	3	1.51482
14	7	3	2	1.25844
10	6	2	4	1.34093
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
2	2	0	2	1.58748
8	5	2	2	1.0442
7	5	2	2	1.54788
7	5	2	2	1.54788
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
12	6	2	4	1.37962
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
13	7	3	2	1.33882
10	6	2	4	1.34093
17	9	4	3	1.51482
14	7	3	2	1.25844
10	6	2	4	1.34093
17	9	4	3	1.51482
14	7	3	2	1.25844
10	6	2	4	1.34093
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
5	4	1	3	1.54788
15	8	3	5	0
20	11	5	0	1.51
2	2	0	2	1.58748
8	5	2	2	1.0442
11	6	2	4	1.54788
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
5	4	1	3	1.54788
15	8	3	5	0
20	11	5	0	1.51
2	2	0	2	1.58748
8	5	2	2	1.0442
11	6	2	4	1.54788
17	9	4	3	1.51482
16	8	3	5	1.33651
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
13	7	3	2	1.33882
10	6	2	4	1.34093
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
5	4	1	3	1.54788
13	7	3	2	1.33882
10	6	2	4	1.34093
18	10	4	5	1.51451
19	11	5	0	1.51483
2	2	0	2	1.58748
8	5	2	2	1.0442
7	5	2	2	1.54788
11	6	2	4	1.54788
17	9	4	3	1.51482
16	8	3	5	1.3365
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
15	8	3	5	0
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
13	7	3	2	1.33882
10	6	2	4	1.34093
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
5	4	1	3	1.54788
15	8	3	5	0
20	11	5	0	1.51
2	2	0	2	1.58748
12	6	2	4	1.37962
18	10	4	5	1.51451
19	11	5	0	1.51483
1	1	0	1	1.5861
4	3	1	1	1.46943
3	3	1	1	1.40073
6	4	1	3	0
15	8	3	5	0
20	11	5	0	1.51
1	1	0	1	1.5861
4	3	1	1	1.46943
6	4	1	3	0
13	7	3	2	1.33882
10	6	2	4	1.34093
17	9	4	3	1.51482
16	8	3	5	1.3365
20	11	5	0	1.51
1	1	0	1	1.5861
5	4	1	3	1.54788
15	8	3	5	0
20	11	5	0	1.51
2	2	0	2	1.58748
12	6	2	4	1.37962
17	9	4	3	1.51482
14	7	3	2	1.25844
9	5	2	2	1.16441
11	6	2	4	1.54788
17	9	4	3	1.51482
14	7	3	2	1.25844
9	5	2	2	1.16441
11	6	2	4	1.54788
18	10	4	5	1.51451
